arg_class_id,count,frequency
172,4930,0.00035829571591699285
173,5348,0.0003886745413233423
174,46846,0.0034046087439852835
175,26128,0.0018988946177442574
176,127494,0.009265832455399815
177,28253,0.002053332426329168
178,1588,0.00011541046589780621
179,1812,0.0001316900278380509
180,1650,0.00011991641607769538
181,1750,0.00012718407765816177
182,1671,0.00012144262500959331
183,401,2.914332293767021e-05
184,1680,0.0001220967145518353
185,6,4.360596948279832e-07
186,1818,0.0001321260875328789
187,8873,0.0006448596120347825
188,1743,0.0001266753413475291
189,1843,0.0001339430029279955
190,75,5.450746185349789e-06
191,1956,0.00014215546051392252
192,15,1.0901492370699579e-06
193,5,3.633830790233193e-07
194,4293,0.00031200071164942195
195,2717,0.0001974623651412717
196,2464,0.00017907518134269176
197,1668,0.00012122459516217932
198,369,2.6817671231920965e-05
199,3,2.180298474139916e-07
200,1741,0.0001265299881159198
201,1687,0.00012260545086246793
202,7,5.08736310632647e-07
203,1751,0.00012725675427396644
204,1638,0.0001190442966880394
205,816,5.930411849660571e-05
206,12,8.721193896559664e-07
207,1597,0.00011606455544004818
208,346,2.5146109068413697e-05
209,332,2.41286364471484e-05
210,1817,0.00013205341091707424
211,1677,0.0001218786847044213
212,110,7.994427738513026e-06
213,1770,0.00012863760997425505
214,1714,0.00012456771948919385
215,1880,0.00013663203771276805
216,1655,0.0001202797991567187
217,1706,0.00012398630656275655
218,1264,9.186324237709512e-05
219,5983,0.0004348241923593039
220,10568,0.0007680464758236877
221,223,1.620688532444004e-05
222,7340,0.0005334463600062328
223,478,3.4739422354629325e-05
224,508,3.691972082876924e-05
225,395,2.8707263242842226e-05
226,15,1.0901492370699579e-06
227,3892,0.00028285738871175177
228,13894,0.0010097688999899997
229,23971,0.0017421311574535975
230,44355,0.0032235712940158656
231,4932,0.0003584410691486022
232,15,1.0901492370699579e-06
233,217,1.5770825629612058e-05
234,369,2.6817671231920965e-05
235,14757,0.0010724888194294246
236,1372,9.971231688399881e-05
237,1,7.267661580466386e-08
238,8705,0.0006326499405795989
239,1111,8.074372015898154e-05
240,1556,0.00011308481419205697
241,1399,0.00010167458551072475
242,234,1.7006328098291343e-05
243,1395,0.00010138387904750609
244,1795801,0.13051273933863117
245,2,1.4535323160932772e-07
246,1494,0.0001085788640121678
247,1373,9.978499349980348e-05
248,185520,0.01348296576408124
249,58515,0.004252672173809906
250,1392,0.00010116584920009209
251,24336,0.0017686581222222998
252,13757,0.0009998122036247608
253,422,3.066953186956815e-05
254,1117,8.117977985380953e-05
255,1325,9.629651594117962e-05
256,1372,9.971231688399881e-05
257,42651,0.0030997303406847185
258,1446,0.00010509038645354394
259,1405,0.00010211064520555273
260,633,4.6004297804352225e-05
261,527,3.8300576529057854e-05
262,4701,0.0003416527708977248
263,704,5.116433752648336e-05
264,11,7.994427738513025e-07
265,4559,0.00033133269145346257
266,39788,0.002891657189635966
267,1525,0.00011083183910211239
268,1381,0.00010036640642624079
