graph_class_id,count,frequency
197,293766,0.021349918718472884
198,171611,0.01247210671485417
199,3615,0.0002627259661338599
200,2078,0.0001510220076420915
201,38457,0.002794924613999958
202,513,3.728310390779256e-05
203,292189,0.02123530769534893
204,90363,0.006567277033956841
205,170419,0.01238547618881501
206,12650,0.0009193591899289979
207,1910440,0.13884431389786203
208,7626,0.0005542318721263666
209,158675,0.011531962012805038
210,152684,0.011096556407519297
211,22157,0.0016102957763839373
212,24,1.7442387793119327e-06
213,100,7.267661580466386e-06
214,495,3.597492482330861e-05
215,26607,0.0019337067167146914
216,30178,0.002193234911753146
217,12629,0.0009178329809970999
218,76918,0.0055901399344631345
219,57872,0.004205941109847507
220,90537,0.006579922765106852
221,1270,9.22993020719231e-05
222,527,3.8300576529057854e-05
223,96,6.976955117247731e-06
224,89207,0.0064832628660866495
225,1906,0.00013852162972368933
226,42119,0.003061066381076637
227,2303,0.00016737424619814087
228,165125,0.01200072618474512
229,4314,0.0003135269205813199
230,34706,0.002522314628116664
231,52316,0.0038021498324367947
232,8254,0.0005998727868516956
233,57976,0.004213499477891192
234,60398,0.004389522241370088
235,22352,0.0016244677164658466
236,288,2.0930865351743192e-05
237,5467,0.0003973230586040973
238,520,3.779184021842521e-05
239,60,4.3605969482798315e-06
240,6890,0.000500741882894134
241,2938,0.00021352389723410244
242,622,4.520485503050092e-05
243,492,3.575689497589462e-05
244,40902,0.002972618939642361
245,698,5.072827783165537e-05
246,131145,0.009531174779702643
247,3748,0.00027239195603588016
248,3504,0.00025465886177954215
249,12336,0.0008965387325663334
250,345,2.5073432452609034e-05
251,32049,0.002329212859923672
252,28050,0.002038579073320821
253,1546,0.00011235804803401033
254,14212,0.0010328800638158828
255,49088,0.0035675497166193395
256,5393,0.0003919449890345522
257,1609,0.00011693667482970415
258,2977,0.00021635828525048433
259,3185,0.0002314750213378544
260,24739,0.0017979467983915793
261,1729,0.00012565786872626382
262,2660,0.00019331979804040588
263,3023,0.00021970140957749886
264,6886,0.0005004511764309154
265,34733,0.00252427689674339
266,448,3.255912388048941e-05
267,373,2.710837769513962e-05
268,1482,0.00010770674462251185
269,1173,8.524967033887071e-05
270,10133,0.0007364321479486589
271,1693,0.0001230415105572959
272,6433,0.0004675286694714026
273,333,2.4201313062953065e-05
274,1345,9.77500482572729e-05
275,2929,0.00021286980769186044
276,2240,0.00016279561940244706
277,16799,0.0012208944689025482
278,609,4.4260059025040294e-05
279,4204,0.0003055324928428069
280,24470,0.0017783967887401247
281,1008,7.325802873110117e-05
282,47000,0.0034158009428192017
283,164,1.1918964991964874e-05
284,3654,0.00026556035415024176
285,14113,0.001025685078851221
286,232,1.6860974866682017e-05
287,1030,7.485691427880378e-05
288,2803,0.0002037125541004728
289,93,6.7589252698337395e-06
290,10031,0.0007290191331365832
291,11218,0.0008152862760967192
292,4062,0.0002952124133985446
293,186,1.3517850539667479e-05
294,817,5.9376795112410376e-05
295,557,4.048087500319777e-05
296,1333,9.687792886761692e-05
297,1145,8.321472509634013e-05
298,260,1.8895920109212604e-05
299,2143,0.00015574598766939467
300,9423,0.0006848317507273476
301,5685,0.00041316656084951404
302,933,6.780728254575139e-05
303,220,1.598885547702605e-05
304,290,2.107621858335252e-05
305,2679,0.0001947006537406945
306,18928,0.0013756229839506776
307,6253,0.0004544468786265631
308,1368,9.942161042078016e-05
309,83,6.0321591117871e-06
310,906,6.584501391902546e-05
311,15216,0.0011058473860837653
312,16911,0.0012290342498726707
313,31698,0.002303703367776235
314,191,1.3881233618690797e-05
315,25288,0.0018378462604683398
316,55,3.997213869256513e-06
317,4506,0.00032748083081581534
318,4639,0.0003371468207178357
319,1966,0.00014288222667196916
320,88,6.39554219081042e-06
321,460,3.3431243270145374e-05
322,84589,0.006147642254300712
323,1410,0.00010247402828457605
324,9139,0.000664191591838823
325,2292,0.00016657480342428956
326,926,6.729854623511873e-05
327,3541,0.00025734789656431476
328,615,4.4696118719868274e-05
329,4080,0.00029652059248302855
330,1145,8.321472509634013e-05
331,1703,0.00012376827671534255
332,4347,0.0003159252489028738
333,1594,0.0001158465255926342
334,8139,0.0005915149760341592
335,912,6.628107361385344e-05
336,227,1.6497591787658697e-05
337,20370,0.0014804226639410028
338,274,1.99133927304779e-05
339,1412,0.00010261938151618537
340,6863,0.0004987796142674081
341,1305,9.484298362508634e-05
342,4208,0.00030582319930602556
343,128,9.302606822996974e-06
344,1555,0.0001130121375762523
345,15946,0.00115890131562117
346,4922,0.0003577143029905555
347,223,1.620688532444004e-05
348,3561,0.000258801428880408
349,6148,0.00044681583396707344
350,371,2.696302446353029e-05
351,238,1.729703456151e-05
352,1976,0.0001436089928300158
353,213,1.54801191663934e-05
354,436,3.168700449083344e-05
355,10590,0.0007696453613713903
356,3062,0.00022253579759388075
357,924,6.715319300350941e-05
358,5165,0.00037537472063108886
359,516,3.7501133755206555e-05
360,878,6.381006867649487e-05
361,1450,0.0001053810929167626
362,9812,0.0007131029542753618
363,3918,0.000284746980722673
364,5190,0.0003771916360262054
365,50,3.633830790233193e-06
366,2893,0.00021025344952289255
367,63,4.578626795693823e-06
368,1437,0.00010443629691130197
369,4918,0.00035742359652733685
370,6896,0.000501177942588962
371,10733,0.0007800381174314572
372,1389,0.0001009478193526781
373,4996,0.00036309237256010063
374,65,4.723980027303151e-06
375,1343,9.760469502566356e-05
376,73,5.305392953740462e-06
377,1381,0.00010036640642624079
378,28,2.034945242530588e-06
379,28,2.034945242530588e-06
380,1609,0.00011693667482970415
381,171,1.242770130259752e-05
382,1321,9.600580947796097e-05
383,1496,0.00010872421724377714
384,1050,7.631044659489706e-05
385,52,3.779184021842521e-06
386,4159,0.000302262045131597
387,96,6.976955117247731e-06
388,668,4.854797935751546e-05
389,1953,0.00014193743066650852
