microservice_x,pod,median,latency,microservice_y,cpuUsage,microservice,memUsage,repeat,service,cpuInter,memInter,targetReqFreq,reqFreq
frontend,frontend-869d96cc79-f9gzk,348.0,847.299999999999,,,,,0,Search,0.0,0.0,27,32.1
frontend,frontend-869d96cc79-j2vpj,386.0,812.9,,,,,0,Search,0.0,0.0,27,32.1
frontend,frontend-869d96cc79-j5j6z,443.0,821.0,,,,,0,Search,0.0,0.0,27,32.1
frontend,frontend-869d96cc79-nwd6w,371.0,890.0,,,,,0,Search,0.0,0.0,27,32.1
frontend,frontend-869d96cc79-p65q4,341.0,713.0,,,,,0,Search,0.0,0.0,27,32.1
search,search-746c9c4bcd-47s42,332.0,19218.399999999998,,,,,0,Search,0.0,0.0,27,32.1
search,search-746c9c4bcd-6jqsb,331.0,1000.8000000000006,,,,,0,Search,0.0,0.0,27,32.1
geo,geo-6fb5d946f4-f62hr,304.0,3226.899999999996,,,,,0,Search,0.0,0.0,27,32.1
profile,profile-85f96b4944-8w5lv,216.0,688.6,,,,,0,Search,0.0,0.0,27,32.1
rate,rate-858b9c56b6-9xr7x,400.0,1474.6000000000006,,,,,0,Search,0.0,0.0,27,32.1
reservation,reservation-7bb589bc47-chrp5,287.0,4050.4999999999964,,,,,0,Search,0.0,0.0,27,32.1
reservation,reservation-7bb589bc47-f5w22,259.0,6862.799999999825,,,,,0,Search,0.0,0.0,27,32.1
reservation,reservation-7bb589bc47-pdfx4,289.5,3519.25,,,,,0,Search,0.0,0.0,27,32.1
